LSOAs,Ethnic Group;White;2011,Ethnic Group;Mixed/multiple ethnic groups;2011,Ethnic Group;Asian/Asian British;2011,Ethnic Group;Black/African/Caribbean/Black British;2011,Ethnic Group;Other ethnic group;2011,Ethnic Group;BAME;2011,Ethnic Group;White (%);2011,Ethnic Group;Mixed/multiple ethnic groups (%);2011,Ethnic Group;Asian/Asian British (%);2011,Ethnic Group;Black/African/Caribbean/Black British (%);2011,Ethnic Group;Other ethnic group (%);2011,Ethnic Group;BAME (%);2011
E01002612,1101,72,331,97,69,569,65.9,4.3,19.8,5.8,4.1,34.1
E01002613,1118,56,464,82,41,643,63.5,3.2,26.3,4.7,2.3,36.5
E01002598,1250,117,298,144,31,590,67.9,6.4,16.2,7.8,1.7,32.1
E01002599,1127,67,262,112,39,480,70.1,4.2,16.3,7,2.4,29.9
E01002600,1116,42,239,116,11,408,73.2,2.8,15.7,7.6,0.7,26.8
E01002603,1204,67,424,169,60,720,62.6,3.5,22,8.8,3.1,37.4
E01033000,1017,125,307,299,37,768,57,7,17.2,16.8,2.1,43
E01033030,676,78,840,94,35,1047,39.2,4.5,48.8,5.5,2,60.8
E01002604,1050,71,306,268,38,683,60.6,4.1,17.7,15.5,2.2,39.4
E01002605,1259,67,350,117,54,588,68.2,3.6,18.9,6.3,2.9,31.8
E01002606,1082,74,290,169,26,559,65.9,4.5,17.7,10.3,1.6,34.1
E01002607,1229,117,360,154,63,694,63.9,6.1,18.7,8,3.3,36.1
E01002615,878,84,347,127,34,592,59.7,5.7,23.6,8.6,2.3,40.3
E01002596,1201,99,374,263,59,795,60.2,5,18.7,13.2,3,39.8
E01002601,1166,74,299,98,28,499,70,4.4,18,5.9,1.7,30
E01002602,1269,47,90,46,25,208,85.9,3.2,6.1,3.1,1.7,14.1
E01002614,1220,79,334,79,34,526,69.9,4.5,19.1,4.5,1.9,30.1
E01002616,1075,58,155,78,16,307,77.8,4.2,11.2,5.6,1.2,22.2
E01002608,1169,87,275,133,53,548,68.1,5.1,16,7.7,3.1,31.9
E01002609,1339,57,228,64,42,391,77.4,3.3,13.2,3.7,2.4,22.6
E01002610,1087,95,221,111,50,477,69.5,6.1,14.1,7.1,3.2,30.5
E01002617,1276,58,179,67,14,318,80.1,3.6,11.2,4.2,0.9,19.9
E01002687,1393,80,166,38,30,314,81.6,4.7,9.7,2.2,1.8,18.4
E01002691,1054,95,269,76,102,542,66,6,16.9,4.8,6.4,34
E01002692,1268,118,215,95,86,514,71.2,6.6,12.1,5.3,4.8,28.8
E01002693,1353,59,165,57,60,341,79.9,3.5,9.7,3.4,3.5,20.1
E01032573,1282,75,168,53,36,332,79.4,4.6,10.4,3.3,2.2,20.6
E01003006,1192,54,187,14,53,308,79.5,3.6,12.5,0.9,3.5,20.5
E01003007,1231,83,158,11,30,282,81.4,5.5,10.4,0.7,2,18.6
E01003008,1163,88,136,20,25,269,81.2,6.1,9.5,1.4,1.7,18.8
E01003009,1541,106,178,40,30,354,81.3,5.6,9.4,2.1,1.6,18.7
E01003010,1316,48,106,7,20,181,87.9,3.2,7.1,0.5,1.3,12.1
E01002952,1038,49,336,30,88,503,67.4,3.2,21.8,1.9,5.7,32.6
E01002953,797,87,337,34,53,511,60.9,6.7,25.8,2.6,4.1,39.1
E01002955,839,59,288,45,146,538,60.9,4.3,20.9,3.3,10.6,39.1
E01002956,1065,70,290,57,129,546,66.1,4.3,18,3.5,8,33.9
E01002959,891,59,396,42,45,542,62.2,4.1,27.6,2.9,3.1,37.8
