LSOAs,Mean_year_household_income,Median_year_household_income
E01002890,130657,88199
E01002891,97123,65745
E01002892,90375,61227
E01002813,102046,69041
E01002815,59561,40568
E01002816,90616,61388
E01002817,93865,63564
E01002865,114308,77252
E01002818,87058,59005
E01002819,94349,63888
E01002859,100300,67873
E01002860,120254,81234
E01002863,100570,68053
E01002812,73541,49954
E01002834,82074,55668
E01002839,58303,39700
E01002850,55588,37827
E01002888,73605,49997
E01002821,98053,66368
E01002823,54492,37071
E01002858,41531,28128
E01002861,93868,63566
E01002862,42870,29052
E01002814,51664,35120
E01002847,59479,40512
E01002848,51215,34810
E01002851,44267,30016
E01002820,84686,57417
E01002822,101622,68758
E01002835,90433,61265
E01002836,84391,57219
E01002837,91339,61872
E01002846,51555,35045
E01002849,63635,43321
E01002893,56958,38772
E01002894,70367,47830
E01002898,91043,61674
E01002899,58730,39995
E01002900,107192,72488
E01002901,76620,52016
E01002902,80936,54906
E01002903,136977,92431
E01002844,87511,59309
E01002845,59311,40396
E01002910,73569,49974
E01002911,100811,68215
E01002914,90606,61381
E01002838,88970,60286
E01002895,106212,71831
E01002896,88297,59835
E01002897,58924,40129
E01002912,75363,51175
E01002840,43188,29271
E01002841,54318,36951
E01002842,31080,20918
E01002843,42373,28709
E01002913,61721,42040
E01003015,34218,27174
E01003108,36035,28605
E01003110,57544,45666
E01003111,29401,23381
E01003112,36674,29108
E01003101,39922,31666
E01003105,36483,28958
E01003106,49162,39002
E01003107,60737,48204
E01003109,38102,30233
E01003102,49440,39223
E01003104,41225,32693
E01003122,39611,31421
E01003129,42494,33700
E01033207,38715,30716
E01033208,51539,40891
E01003098,42740,33896
E01003099,38958,30907
E01003100,57545,45666
E01003180,40965,32488
E01003183,35368,28080
E01003097,32700,25979
E01003121,30949,24599
E01003123,57306,45477
E01003124,35331,28051
E01003125,28627,22771
E01003181,36604,29053
E01003184,28067,22330
E01003185,40466,32095
E01003186,49758,39476
E01003187,32551,25861
E01003089,31783,25257
E01003091,38106,30236
E01003092,32302,25665
E01003126,34821,27649
E01003128,30898,24560
E01003046,29523,23477
E01003048,28639,22780
E01003075,28159,22402
E01003182,39489,31326
E01003188,30672,24381
E01003088,39403,31258
E01003093,31675,25171
E01003094,43058,34149
E01003096,56519,44851
E01003127,42602,33787
E01003045,30791,24475
E01003047,34693,27548
E01003049,31278,24858
E01003059,30383,24154
E01003060,27922,22215
E01003061,36409,28900
E01003034,51063,40513
E01003035,57870,45925
E01003036,56388,44747
E01003090,49368,39166
E01003095,59786,47448
E01003037,37033,29391
E01003038,74529,59169
E01003039,75009,59551
E01003040,61941,49161
E01003042,42375,33606
E01003072,64618,51289
E01003073,40935,32464
E01003076,42362,33596
E01003077,41848,33187
E01003078,69893,55483
E01003019,58739,46615
E01003053,59845,47495
E01003054,64501,51196
E01003056,46897,37201
E01003058,53727,42631
E01003020,46090,36560
E01003050,44377,35198
E01003052,29249,23261
E01003055,45167,35826
E01003176,32409,25750
E01003029,56629,44938
E01003032,41335,32779
E01003041,38096,30229
E01003057,38112,30241
E01003043,51296,40698
E01003044,32822,26074
E01003051,33637,26717
E01003071,60146,47734
E01003074,53106,42138
E01003026,76518,60750
E01003027,93033,73880
E01003028,64809,51442
E01003030,75001,59545
E01003033,74975,59524
E01003018,52701,41815
E01003171,41302,32753
E01003173,54718,43419
E01003177,42022,33325
E01003178,56888,45144
E01003021,33567,26661
E01003022,50119,39763
E01003023,42649,33824
E01003024,32888,26127
E01003025,38152,30272
E01003136,39333,31203
E01003137,33368,26504
E01003159,36228,28758
E01003160,30379,24150
E01003162,29047,23101
E01003031,44539,35327
E01003156,54714,43416
E01003157,72124,57257
E01003158,75689,60091
E01003161,52697,41812
E01003163,51689,41011
E01003132,33668,26741
E01003172,36047,28614
E01003174,29746,23652
E01003175,34394,27313
E01003179,30362,24137
E01003164,41688,33060
E01003165,52192,41411
E01003168,34204,27163
E01003169,46323,36745
E01003170,69573,55229
E01003130,50774,40284
E01003131,57064,45284
E01003135,40325,31984
E01003138,68409,54304
E01003151,30049,23890
E01003079,38134,30258
E01003080,48233,38263
E01003133,48520,38491
E01003134,51833,41125
E01003152,51709,41027
E01003064,61755,49014
E01003066,36739,29159
E01003081,39389,31247
E01003166,45226,35873
E01003167,68962,54743
E01003116,54740,43436
E01003117,45553,36132
E01003118,53503,42453
E01003153,44653,35417
E01003155,50679,40208
E01003083,53433,42398
E01003084,54070,42904
E01003085,48467,38450
E01003149,55443,43995
E01003154,36351,28854
E01003065,31722,25208
E01003068,38363,30439
E01003082,36930,29310
E01003086,32299,25663
E01003087,29236,23251
E01003113,42461,33675
E01003114,44469,35271
E01003119,45458,36057
E01003120,37502,29760
E01003148,46828,37147
E01003150,37184,29510
E01003062,45695,36246
E01003063,33012,26224
E01003067,52366,41549
E01003069,38374,30448
E01003070,33952,26965
E01003115,42967,34077
E01003141,39842,31603
E01003144,65528,52013
E01003145,41107,32600
E01003147,41221,32690
E01003139,38768,30758
E01003140,40261,31934
E01003142,36682,29114
E01003143,35609,28270
E01003146,36968,29340
E01003013,71108,56449
E01003014,41988,33299
E01003016,53557,42496
E01003017,45757,36295
E01032582,41793,33144
E01003244,28425,23142
E01003245,31032,25228
E01003247,44242,35868
E01003249,36381,29507
E01003250,34899,28322
E01003246,31233,25389
E01003248,31084,25269
E01003251,27065,22055
E01003252,25181,20547
E01003253,30162,24532
E01003297,33751,27403
E01003299,35437,28752
E01003301,38024,30821
E01003302,31625,25702
E01003305,33510,27210
E01003207,30632,24908
E01003209,34723,28181
E01003210,46908,38034
E01003212,42864,34747
E01003215,36374,29501
E01003338,29299,23841
E01003339,38298,31040
E01003340,48314,39177
E01003341,54086,43870
E01003343,41074,33292
E01003199,68176,55324
E01003201,44812,36331
E01003204,52109,42262
E01003205,30509,24809
E01003206,64301,52174
E01003211,49507,40147
E01003213,52441,42532
E01003214,36718,29777
E01033324,39840,32290
E01033325,59653,48395
E01003198,61621,49995
E01003200,73484,59639
E01003202,74893,60784
E01003203,41281,33461
E01003336,29689,24153
E01003337,31733,25788
E01003342,46162,37429
E01003344,45785,37122
E01003345,44856,36367
E01003273,37496,30399
E01003277,50685,41106
E01003278,44716,36253
E01003279,52975,42967
E01003288,34824,28261
E01003290,34418,27937
E01003291,29988,24393
E01003296,39924,32357
E01033327,39146,31725
E01033341,35158,28528
E01003282,45346,36765
E01003283,64302,52174
E01003284,51095,41439
E01003286,35231,28587
E01003272,46186,37448
E01003274,49506,40147
E01003275,36329,29465
E01003276,49324,39999
E01003225,58074,47112
E01003231,45254,36690
E01003232,55802,45265
E01003233,52158,42302
E01003280,37175,30142
E01003281,55567,45074
E01003285,56296,45667
E01003287,63207,51285
E01003292,47988,38913
E01003293,37958,30768
E01003295,38443,31157
E01033320,42232,34233
E01033322,46243,37494
E01003319,35663,28932
E01003320,33506,27207
E01003323,38270,31018
E01003325,36020,29218
E01003226,51892,42087
E01003227,57632,46752
E01003228,61057,49537
E01003229,35026,28423
E01003230,41251,33436
E01003317,39688,32165
E01003318,35282,28628
E01003321,37799,30641
E01003322,40199,32581
E01003324,31512,25612
E01003254,68963,55964
E01003255,51568,41823
E01003260,56446,45788
E01003261,55824,45283
E01003262,52781,42809
E01003217,43414,35194
E01003218,48163,39055
E01003220,42921,34794
E01003222,40234,32609
E01003224,43238,35051
E01003263,36826,29863
E01003268,44277,35896
E01003269,41222,33412
E01003270,51955,42138
E01003271,59432,48215
E01003307,45201,36647
E01003308,46275,37520
E01003314,54169,43938
E01003315,46326,37561
E01003316,53512,43404
E01003216,46226,37481
E01003219,47026,38131
E01003221,40889,33142
E01003223,49625,40243
E01003346,33691,27355
E01003349,33540,27234
E01003351,31891,25915
E01003354,40498,32824
E01003309,32941,26755
E01003310,36836,29871
E01003311,52881,42890
E01003312,48566,39383
E01003313,36082,29268
E01003256,36826,29863
E01003257,42570,34509
E01003258,32440,26354
E01003259,51229,41548
E01003193,37267,30216
E01003194,35055,28446
E01003195,41207,33401
E01003196,31484,25589
E01003197,31183,25348
E01003347,29620,24098
E01003348,36641,29715
E01003350,32790,26634
E01003352,35377,28704
E01003353,40658,32955
E01003264,38709,31370
E01003265,33813,27453
E01003266,31468,25576
E01003267,33483,27188
E01003329,47745,38715
E01003330,34600,28082
E01003331,38194,30957
E01003332,39750,32216
E01003334,38169,30937
E01003189,31347,25480
E01003190,31737,25792
E01003191,31676,25743
E01003192,29339,23873
E01003326,41211,33404
E01003327,47430,38459
E01003328,43310,35110
E01003333,38745,31399
E01003335,38397,31120
E01003236,32932,26748
E01003237,31375,25502
E01003238,33130,26906
E01003239,32926,26743
E01032564,32397,26320
E01003235,39770,32232
E01003240,32290,26234
E01003241,34658,28129
E01003243,31518,25617
E01032565,31030,25226
E01003298,32116,26095
E01003300,30746,24999
E01003303,31753,25805
E01003304,30918,25136
E01032579,31012,25212
E01003543,43196,34430
E01003544,33495,26703
E01003546,32135,25629
E01003550,35518,28314
E01003576,27912,22304
E01003581,30941,24689
E01003582,30351,24224
E01003583,31027,24756
E01003578,30331,24208
E01003584,45411,36195
E01003586,32630,26019
E01003590,32577,25977
E01003579,31929,25467
E01003585,30993,24729
E01003587,32528,25939
E01003591,28163,22501
E01003528,29155,23282
E01003575,31468,25104
E01003577,27103,21667
E01003580,31061,24783
E01003545,33304,26551
E01003548,33466,26680
E01003549,32966,26283
E01003557,33189,26459
E01003547,48142,38370
E01003555,46373,36961
E01003561,31560,25176
E01003567,30263,24154
E01003556,31310,24979
E01003558,30404,24266
E01003570,30067,24000
E01003571,31398,25048
E01003572,33827,26968
E01003551,35827,28561
E01003553,30870,24633
E01003554,42451,33836
E01003559,47371,37755
E01003529,34082,27171
E01003530,34019,27121
E01003531,32731,26098
E01003532,35476,28281
E01003534,31932,25469
E01003533,32806,26157
E01003560,30915,24668
E01003563,31542,25161
E01003588,29964,23919
E01003589,32923,26249
E01003616,33027,26332
E01003617,41249,32879
E01003618,43148,34392
E01003619,37444,29849
E01003615,34996,27898
E01033578,43250,34473
E01033579,50290,40080
E01033583,40106,31969
E01033586,38435,30638
E01003562,31896,25441
E01003564,32754,26116
E01003565,32598,25993
E01003566,31701,25287
E01003625,31820,25381
E01003626,35988,28689
E01003627,32550,25956
E01003628,37773,30110
E01003629,31786,25354
E01003552,36486,29086
E01003596,35427,28242
E01003597,33314,26559
E01003635,40968,32656
E01003568,33113,26399
E01003569,30622,24437
E01003573,32419,25853
E01003574,31734,25313
E01003520,32035,25550
E01003521,33864,26997
E01003522,32904,26235
E01003525,34456,27468
E01003526,32612,26005
E01003488,28051,22413
E01003489,26379,21096
E01003490,30437,24292
E01003524,28984,23147
E01003631,35675,28440
E01003632,37002,29496
E01003633,28005,22377
E01003634,30170,24081
E01003636,31565,25180
E01003598,29308,23403
E01003600,30721,24516
E01003630,31516,25142
E01003637,36682,29241
E01003491,28254,22573
E01003592,31701,25287
E01003599,30005,23951
E01003606,32499,25916
E01003535,28524,22785
E01003536,34995,27898
E01003621,33762,26916
E01003622,31303,24973
E01003623,29881,23854
E01003523,31682,25272
E01003527,42565,33928
E01003537,35946,28655
E01003542,29811,23799
E01003624,32200,25680
E01003492,33501,26708
E01003493,32385,25826
E01003494,39552,31527
E01003495,44547,35506
E01003594,32348,25797
E01003595,29970,23924
E01003602,32284,25746
E01003607,31491,25122
E01003496,32907,26237
E01003498,29967,23921
E01003500,31980,25507
E01003593,29667,23685
E01003601,31357,25016
E01003603,35274,28120
E01003605,29876,23850
E01003608,39090,31159
E01003538,30745,24535
E01003539,34929,27845
E01003540,30536,24370
E01003541,34405,27428
E01003499,27285,21810
E01003501,30080,24011
E01003502,29323,23415
E01003503,28749,22963
E01003507,31572,25186
E01003508,30086,24015
E01003509,30117,24040
E01003604,32194,25675
E01003483,32413,25848
E01003484,42809,34122
E01003516,29322,23414
E01003518,43688,34822
E01003519,32603,25997
E01003480,37477,29875
E01003482,46687,37211
E01003486,27850,22254
E01003487,31343,25005
E01003497,30699,24498
E01003506,29935,23896
E01033574,64461,51368
E01033575,60164,47945
E01033576,44751,35669
