LSOAs,Median_houseP
E01003078,360
E01003019,360
E01003053,406.5
E01003054,375
E01003056,339.563
E01003058,312.5
E01003020,338.5
E01003050,292.475
E01003052,188
E01003055,291.25
E01003176,187.475
E01003029,350
E01003032,305.264
E01003041,242
E01003057,340
E01003043,371
E01003044,212
E01003051,272.5
E01003071,401.625
E01003074,327.5
E01003026,490
E01003027,892.5
E01003028,380
E01003030,348.5
E01003033,755
E01003018,285
E01003171,247
E01003173,305
E01003177,342.5
E01003178,342.75
E01003021,290
E01003022,250
E01003023,250
E01003024,164.5
E01003025,245
E01003136,187.5
E01003137,161.5
E01003159,223.75
E01003160,675
E01003162,184.975
E01003031,420
E01003156,369
E01003157,636.278
E01003158,412.5
E01003161,627
E01003163,400
E01003132,204.5
E01003172,196
E01003174,220
E01003175,215
E01003179,198.5
E01003164,245
E01003165,387.5
E01003168,249
E01003169,285
E01003170,400.5
E01003130,227
E01003131,322.5
E01003135,265
E01003138,365
E01003151,200.75
E01003079,192
E01003080,244.95
E01003133,250
E01003134,305
E01003152,310
E01003064,317.95
E01003066,216
E01003081,315
E01003166,217.5
E01003167,461.5
E01003116,249.999
E01003117,250
E01003118,241.5
E01003153,225
E01003155,317.5
E01003083,406
E01003084,252.375
E01003085,342.25
E01003149,210
E01003154,250
E01003065,209
E01003068,299
E01003082,187.25
E01003086,172.5
E01003087,158
E01003113,228.25
E01003114,242
E01003119,237.5
E01003120,222.5
E01003148,247.5
E01003150,175.75
E01003062,222.5
E01003063,214
E01003067,413
E01003069,230
E01003070,249
E01003115,293.75
E01003141,250
E01003144,495
E01003145,201.25
E01003147,250
E01003139,247
E01003140,262.5
E01003142,238
E01003143,248
E01003146,240
E01003013,357.5
E01003014,300
E01003016,566.25
E01003017,575.165
E01032582,453.75
E01003244,#VALUE!
E01003245,248.75
E01003247,230
E01003249,212.5
E01003250,274.5
E01003246,182.5
E01003248,138.5
E01003251,112.5
E01003252,135.5
E01003253,189.5
E01003297,127
E01003299,340
E01003301,250
E01003302,175
E01003305,278
E01003207,272
E01003209,234
E01003210,243.75
E01003212,250
E01003215,245.975
E01003338,203
E01003339,240
E01003340,247.5
E01003341,285
E01003343,279.75
E01003199,345
E01003201,312.5
E01003204,352.5
E01003205,407.5
E01003206,335.825
E01003211,250
E01003213,275
E01003214,180.5
E01033324,327
E01033325,239.25
E01003198,352
E01003200,435.017
E01003202,480
E01003203,212.5
E01003336,180.25
E01003337,#VALUE!
E01003342,243
E01003344,213.5
E01003345,241.5
E01003273,280
E01003277,250
E01003278,249.975
E01003279,303.75
E01003288,178.5
E01003290,195
E01003291,183.125
E01003296,190
E01033327,172
E01033341,200
E01003282,250
E01003283,420
E01003284,285
E01003286,250
E01003272,350.5
E01003274,258.6
E01003275,240
E01003276,366.72
E01003225,308.7
E01003231,272.5
E01003232,383.25
E01003233,280
E01003280,290
E01003281,309
E01003285,231.5
E01003287,305
E01003292,250
E01003293,197.748
E01003295,232
E01033320,218.75
E01033322,196.5
E01003319,183.5
E01003320,232
E01003323,181.5
E01003325,230
E01003226,232
E01003227,280
E01003228,308
E01003229,232.5
E01003230,263
E01003317,208
E01003318,151.5
E01003321,242.5
E01003322,250
E01003324,184
E01003254,377.5
E01003255,230
E01003260,469.498
E01003261,247.5
E01003262,240
E01003217,216
E01003218,236.25
E01003220,165
E01003222,240
E01003224,252.5
E01003263,242.5
E01003268,241.1
E01003269,226.5
E01003270,179.5
E01003271,293
E01003307,265
E01003308,226
E01003314,275.5
E01003315,247.75
E01003316,345
E01003216,350
E01003219,247.5
E01003221,218
E01003223,320
E01003346,218
E01003349,176
E01003351,173.5
E01003354,132.5
E01003309,220.25
E01003310,220
E01003311,330
E01003312,249.995
E01003313,240
E01003256,220
E01003257,230
E01003258,241
E01003259,241
E01003193,270
E01003194,194.25
E01003195,235
E01003196,193
E01003197,205
E01003347,130
E01003348,225
E01003350,235
E01003352,250
E01003353,237.5
E01003264,201.25
E01003265,161.5
E01003266,175
E01003267,183
E01003329,240
E01003330,290
E01003331,317.5
E01003332,250
E01003334,202.5
E01003189,200
E01003190,162
E01003191,158.5
E01003192,175
E01003326,250
E01003327,250
E01003328,227.5
E01003333,247.495
E01003335,520
E01003236,180
E01003237,184
E01003238,177.75
E01003239,188.5
E01032564,165.15
E01003235,222
E01003240,174
E01003241,249.99
E01003243,207
E01032565,181.5
E01003298,165
E01003300,222.5
E01003303,237.5
E01003304,175
E01032579,151
E01003543,258.5
E01003544,207
E01003546,215
E01003550,132
E01003576,120
E01003581,205
E01003582,183
E01003583,228.75
E01003578,177
E01003584,292.5
E01003586,205
E01003590,209
